wave_number,items,patial,max_patial,date_start,date_endzone,mhe,wave_type
279,5,200,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
280,1,40,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
281,12,1000,3000,08/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
282,10,800,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
283,15,1385,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
284,31,1970,3000,08/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
285,26,1205,3000,08/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
286,29,2865,3000,08/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
287,1,480,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
288,2,1920,5760,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
289,1,480,5760,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
290,1,480,5760,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
291,1,480,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
292,1,480,5760,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
293,1,60,5760,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
294,1,40,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
295,7,280,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
296,2,80,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
297,3,120,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
298,17,2655,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
299,8,1635,3000,07/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
300,1,2350,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
301,1,1600,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
302,3,2370,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
303,10,1480,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
304,1,3375,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
305,1,3350,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
306,3,2650,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
307,3,2530,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
308,17,2580,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
309,13,2710,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
310,2,2190,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
311,110,4400,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
312,34,2540,3000,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
313,5,2880,3000,07/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
314,32,2960,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
315,29,2680,3000,08/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
316,1,480,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
317,11,2280,3000,07/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
318,1,795,3000,08/10/2019,16/10/2019,NZONE04,PalletJack,NationalCase
319,3,120,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
320,12,480,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
321,8,320,4400,14/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
322,35,1305,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
323,8,285,4400,07/10/2019,07/10/2019,NZONE04,PalletJack,NationalCase
324,7,1520,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
325,32,1280,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
326,61,2440,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
327,79,3160,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
328,24,960,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
329,6,240,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
330,23,920,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
331,25,1000,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
332,17,680,4400,15/10/2019,15/10/2019,NZONE04,PalletJack,NationalCase
